"","run","condition","emo","cert","rt","trial","sub","acc","shock","control"
"1",1,"Uncontrollable Unpleasant",3,2,0,1,3,0,"Unpleasant","Uncontrollable"
"2",1,"Uncontrollable Perceptible",3,2,0,2,3,0,"Mild","Uncontrollable"
"3",1,"Controllable Unpleasant",4,3,0,3,3,0,"Unpleasant","Controllable"
"4",1,"Controllable Perceptible",2,3,0,4,3,0,"Mild","Controllable"
"5",1,"Controllable Unpleasant",3,3,0,5,3,0,"Unpleasant","Controllable"
"6",1,"Controllable Perceptible",2,3,0.7811535,6,3,1,"Mild","Controllable"
"7",1,"Uncontrollable Perceptible",2,3,0,7,3,0,"Mild","Uncontrollable"
"8",1,"Uncontrollable Unpleasant",2,3,0,8,3,0,"Unpleasant","Uncontrollable"
"9",1,"Uncontrollable Perceptible",1,3,0,9,3,0,"Mild","Uncontrollable"
"10",1,"Controllable Perceptible",1,3,0.9144185,10,3,1,"Mild","Controllable"
"11",1,"Uncontrollable Unpleasant",2,2,0,11,3,0,"Unpleasant","Uncontrollable"
"12",1,"Controllable Unpleasant",3,3,0,12,3,0,"Unpleasant","Controllable"
"13",2,"Controllable Perceptible",3,2,0,13,3,0,"Mild","Controllable"
"14",2,"Uncontrollable Unpleasant",2,2,0.9146405,14,3,1,"Unpleasant","Uncontrollable"
"15",2,"Controllable Unpleasant",1,3,0.8649577,15,3,1,"Unpleasant","Controllable"
"16",2,"Uncontrollable Perceptible",2,3,0,16,3,0,"Mild","Uncontrollable"
"17",2,"Uncontrollable Unpleasant",3,2,0.8317905,17,3,1,"Unpleasant","Uncontrollable"
"18",2,"Controllable Perceptible",2,2,0,18,3,0,"Mild","Controllable"
"19",2,"Controllable Unpleasant",1,3,0.9480171,19,3,1,"Unpleasant","Controllable"
"20",2,"Uncontrollable Perceptible",2,2,0.8817082,20,3,1,"Mild","Uncontrollable"
"21",2,"Uncontrollable Unpleasant",2,3,0.8650659,21,3,1,"Unpleasant","Uncontrollable"
"22",2,"Controllable Perceptible",3,3,0,22,3,0,"Mild","Controllable"
"23",2,"Uncontrollable Perceptible",1,3,0,23,3,0,"Mild","Uncontrollable"
"24",2,"Controllable Unpleasant",2,2,0.931801,24,3,1,"Unpleasant","Controllable"
"25",3,"Uncontrollable Perceptible",2,2,0,25,3,0,"Mild","Uncontrollable"
"26",3,"Controllable Unpleasant",3,3,0.8982087,26,3,1,"Unpleasant","Controllable"
"27",3,"Controllable Perceptible",1,3,0.8150424,27,3,1,"Mild","Controllable"
"28",3,"Uncontrollable Unpleasant",2,3,0,28,3,0,"Unpleasant","Uncontrollable"
"29",3,"Uncontrollable Unpleasant",2,2,0,29,3,0,"Unpleasant","Uncontrollable"
"30",3,"Uncontrollable Perceptible",2,2,0,30,3,0,"Mild","Uncontrollable"
"31",3,"Controllable Perceptible",1,3,0.9316613,31,3,1,"Mild","Controllable"
"32",3,"Controllable Unpleasant",3,2,0,32,3,0,"Unpleasant","Controllable"
"33",3,"Uncontrollable Unpleasant",2,3,0.9484405,33,3,1,"Unpleasant","Uncontrollable"
"34",3,"Controllable Unpleasant",2,3,0.8313653,34,3,1,"Unpleasant","Controllable"
"35",3,"Controllable Perceptible",1,3,0.8650438,35,3,1,"Mild","Controllable"
"36",3,"Uncontrollable Perceptible",2,3,0.9487407,36,3,1,"Mild","Uncontrollable"
"37",4,"Uncontrollable Perceptible",2,3,0,37,3,0,"Mild","Uncontrollable"
"38",4,"Controllable Unpleasant",3,2,0.7813513,38,3,1,"Unpleasant","Controllable"
